"","datetime","title","id"
"1",2021-10-14 23:00:00,"Will North Korea launch another intercontinental ballistic missile before 2022?",5415
"2",2021-10-15 19:30:00,"What will be the % change in the Industrial Production Index for September 2021?",7368
"3",2021-10-15 22:50:00,"Will the LVCC loop overwhelmingly use  autonomous vehicles before 2023?",6603
"4",2021-10-15 23:00:00,"Will the U.S. default on its debt before 1 November 2021?",8024
"5",2021-10-16 03:59:00,"By 2021-11-01 will the US FDA approve a COVID-19 vaccine for children aged 5-11?",7969
"6",2021-10-16 03:59:00,"By 1 November 2021 will the US Senate pass a bill extending the Child Tax Credit?",7963
"7",2021-10-16 07:00:00,"When will SpaceX Starlink internet be generally available?",5035
"8",2021-10-18 03:00:00,"When will the U.S. rejoin the Paris Climate Agreement?",5917
"9",2021-10-18 19:30:00,"What will be the total number of new US building permits issued in September 2021?",7373
"10",2021-10-19 05:00:00,"Will EA Global London 2021 be cancelled, rescheduled, or moved online again?",6348
"11",2021-10-24 03:59:00,"By 23 November 2021 will the US Supreme Court overturn any part of President Biden's executive order requiring federal workers to be vaccinated against COVID-19?",7958
"12",2021-10-24 06:00:00,"Will Angela Merkel remain chancellor after the next German federal elections?",1457
"13",2021-10-26 19:30:00,"What will be the percentage change in the number of US durable goods ordered in September 2021?",7400
"14",2021-10-27 04:00:00,"Will the world agree to new climate targets at the 2021 United Nations Climate Change Conference?",5918
"15",2021-10-27 04:00:00,"Will more than half of the remaining trades in the Trade Signal tournament make money?",8003
"16",2021-10-27 04:00:00,"Will more than half of the remaining forecasts in the Trade Signal tournament that correspond to trades be on the correct side of the consensus?",8002
"17",2021-10-27 04:00:00,"Will the Trade Signal tournament prize pool increase as a result of trading?",8004
"18",2021-10-27 19:30:00,"What will the US Q3 2021 GDP growth rate be according to the US Bureau of Economic Analysis Advance Estimate?",7374
"19",2021-10-28 22:00:00,"Will the (English speaking) world be happier in 2021 than in 2020?",5552
"20",2021-10-28 22:59:00,"When will Reuters journalists Wa Lone and Kyaw Soe Oo be released from prison?",1667
"21",2021-10-30 04:00:00,"Will LDP continue to govern Japan after the 2021 general election?",8095
"22",2021-10-31 04:00:00,"What will be the U.S. GDP growth (year on year) in 2021?",5923
