Unnamed: 0,datetime,title,id,answer
1,2021-10-14 23:00:00,Will North Korea launch another intercontinental ballistic missile before 2022?,5415,"Name of the identified expert: Military Analyst

Probability: 40%"
2,2021-10-15 19:30:00,What will be the % change in the Industrial Production Index for September 2021?,7368,"Name of the identified expert: Economist John Smith
Probability: 75%"
3,2021-10-15 22:50:00,Will the LVCC loop overwhelmingly use  autonomous vehicles before 2023?,6603,"Name of the identified expert: Transportation Analyst
Probability: 70%"
4,2021-10-15 23:00:00,Will the U.S. default on its debt before 1 November 2021?,8024,"Name of the identified expert: Economist John Smith
Probability: 5%"
5,2021-10-16 03:59:00,By 2021-11-01 will the US FDA approve a COVID-19 vaccine for children aged 5-11?,7969,"Name of the identified expert: Dr. Emily Johnson, Pediatric Immunologist

Probability: 80%"
6,2021-10-16 03:59:00,By 1 November 2021 will the US Senate pass a bill extending the Child Tax Credit?,7963,"Name of the identified expert: Legislative Analyst
Probability: 60%"
7,2021-10-16 07:00:00,When will SpaceX Starlink internet be generally available?,5035,"Name of the identified expert: Elon Musk
Date: 2022/06/01"
8,2021-10-18 03:00:00,When will the U.S. rejoin the Paris Climate Agreement?,5917,"Name of the identified expert: Climate policy analyst
Probability: 70%
Date: 2023/01/01"
9,2021-10-18 19:30:00,What will be the total number of new US building permits issued in September 2021?,7373,"Name of the identified expert: John Smith
Probability: 75%"
10,2021-10-19 05:00:00,"Will EA Global London 2021 be cancelled, rescheduled, or moved online again?",6348,"Name of the identified expert: Event Organizer
Probability: 50%"
11,2021-10-24 03:59:00,By 23 November 2021 will the US Supreme Court overturn any part of President Biden's executive order requiring federal workers to be vaccinated against COVID-19?,7958,"Name of the identified expert: Legal expert
Probability: 40%"
12,2021-10-24 06:00:00,Will Angela Merkel remain chancellor after the next German federal elections?,1457,Name of the identified expert: Political Analyst. Probability: X% (Please insert probability value between 0 and 100.)
13,2021-10-26 19:30:00,What will be the percentage change in the number of US durable goods ordered in September 2021?,7400,"Name of the identified expert: Economist John Smith
Probability: 45%"
14,2021-10-27 04:00:00,Will the world agree to new climate targets at the 2021 United Nations Climate Change Conference?,5918,"Name of the identified expert: Climate Policy Analyst

Probability: 70%"
15,2021-10-27 04:00:00,Will more than half of the remaining trades in the Trade Signal tournament make money?,8003,"Name of the identified expert: Trader123
Probability: 60%"
16,2021-10-27 04:00:00,Will more than half of the remaining forecasts in the Trade Signal tournament that correspond to trades be on the correct side of the consensus?,8002,"Name of the identified expert: Trade Signal Analyst
Probability: 60%"
17,2021-10-27 04:00:00,Will the Trade Signal tournament prize pool increase as a result of trading?,8004,"Name of the identified expert: Trading Analyst

Probability: 75%"
